from_date;to_date;chapter;ledger_account;characteristic;balance_in_rub;r_balance_in_rub;balance_in_val;r_balance_in_val;balance_in_total;r_balance_in_total;turn_deb_rub;r_turn_deb_rub;turn_deb_val;r_turn_deb_val;turn_deb_total;r_turn_deb_total;turn_cre_rub;r_turn_cre_rub;turn_cre_val;r_turn_cre_val;turn_cre_total;r_turn_cre_total;balance_out_rub;r_balance_out_rub;balance_out_val;r_balance_out_val;balance_out_total;r_balance_out_total
2018-01-01;2018-01-31;А;30102;А;200079650.12000000;;625440427.12000000;;787848410.30000000;;37671666.94000000;;;;;;;;;;200079650.12000000;;625440427.12000000;;787848410.30000000;;37671666.94000000;
2018-01-01;2018-01-31;А;30109;П;63891.96000000;;;;;;63891.96000000;;;;;;;;;;63891.96000000;;;;;;63891.96000000;
2018-01-01;2018-01-31;А;30110;А;1347893.83000000;;373332.34000000;;1083668.65000000;;637557.52000000;;248922.80000000;;;;;;248922.80000000;;1596816.63000000;;373332.34000000;;1083668.65000000;;886480.32000000;
2018-01-01;2018-01-31;А;30111;П;125006707.42000000;;262884223.89000000;;172294943.56000000;;34417427.09000000;;;;;;;;;;125006707.42000000;;262884223.89000000;;172294943.56000000;;34417427.09000000;
2018-01-01;2018-01-31;А;30114;А;;;;;;;;;22228096.19000000;;1464972651.18680107;;2199251369.68591323;;-712050622.30911216;;22228096.19000000;;1464972651.18680107;;2199251369.68591323;;-712050622.30911216;
2018-01-01;2018-01-31;А;30126;П;67224.06000000;;;;;;67224.06000000;;;;;;;;;;67224.06000000;;;;;;67224.06000000;
2018-01-01;2018-01-31;А;30202;А;129554.00000000;;0E-8;;93819.58000000;;35734.42000000;;;;;;;;;;129554.00000000;;0E-8;;93819.58000000;;35734.42000000;
2018-01-01;2018-01-31;А;30204;А;5541.83000000;;149647.04000000;;0E-8;;155188.87000000;;;;;;;;;;5541.83000000;;149647.04000000;;0E-8;;155188.87000000;
2018-01-01;2018-01-31;А;30220;П;;;;;;;;;21011126.46000000;;251131748.61893800;;162558540.25700800;;-67562081.90193000;;21011126.46000000;;251131748.61893800;;162558540.25700800;;-67562081.90193000;
2018-01-01;2018-01-31;А;30221;А;69885.07000000;;;;;;69885.07000000;;334988.55000000;;;;;;334988.55000000;;404873.62000000;;;;;;404873.62000000;
2018-01-01;2018-01-31;А;30222;П;215769.47000000;;;;;;215769.47000000;;654691.48000000;;5595511.51749600;;0E-8;;-4940820.03749600;;870460.95000000;;5595511.51749600;;0E-8;;-4725050.56749600;
2018-01-01;2018-01-31;А;30223;П;302098.75000000;;6349676.77000000;;15781776.55000000;;9734198.53000000;;;;;;;;;;302098.75000000;;6349676.77000000;;15781776.55000000;;9734198.53000000;
2018-01-01;2018-01-31;А;30232;П;86904.66000000;;;;;;86904.66000000;;65593.48000000;;;;;;65593.48000000;;152498.14000000;;;;;;152498.14000000;
2018-01-01;2018-01-31;А;30233;А;58966.57000000;;;;;;58966.57000000;;84241.58000000;;;;;;84241.58000000;;143208.15000000;;;;;;143208.15000000;
2018-01-01;2018-01-31;А;30236;П;39070.65000000;;;;;;39070.65000000;;101905.92000000;;134845152.11511300;;249074167.07623700;;114330920.88112400;;140976.57000000;;134845152.11511300;;249074167.07623700;;114369991.53112400;
2018-01-01;2018-01-31;А;30413;А;185530.94000000;;2098780.35000000;;2382487.14000000;;-98175.85000000;;;;;;;;;;185530.94000000;;2098780.35000000;;2382487.14000000;;-98175.85000000;
2018-01-01;2018-01-31;А;30424;А;7855306.53000000;;4414156.66000000;;9299232.48000000;;2970230.71000000;;;;;;;;;;7855306.53000000;;4414156.66000000;;9299232.48000000;;2970230.71000000;
2018-01-01;2018-01-31;А;30425;А;87620.47000000;;;;;;87620.47000000;;1234.56000000;;;;;;1234.56000000;;88855.03000000;;;;;;88855.03000000;
